book,chapter,verse,endVerse,question,answer,points,source,quality,2To3,bigPoints,people,places,names,numbers
Hebrews,4,4,4,God rested on what day from all His works?,The seventh day,1,Ki Song,3,False,False,False,False,False,False
James,1,2,2,what are the brethren to do when they fall into various trials?,Count it all joy,1,Ki Song,3,False,False,False,False,False,False
Hebrews,6,6,6,"when believers fall away, whom do they put to open shame?",The Son of God,1,Ki Song,3,False,False,False,False,False,False
James,3,14,15,"if you have bitter envy and self seeking in your heart, this wisdom does not descend from above. Where does it come from? lei eM fe Zeal evere,Lesson: 2021 Area Level Test En",(1) Earthly (2) sensual (3) demonic,3,Ki Song,3,True,False,False,False,False,False
1 Peter,3,12,12,whom is the face of the Lord against?,Those who do evil,1,Ki Song,3,False,False,False,False,False,False
James,2,6,6,what two actions do the rich take against the poor?,(1) Oppress you (2) drag you into court,2,Ki Song,3,True,False,False,False,False,False
Hebrews,12,6,6,whom does the Lord chasten?,Whom He loves,1,Ki Song,3,False,False,False,False,False,False
1 Peter,3,3,4,"Peter tells us, let it  be the hidden person of the heart, with the incorruptible beauty of what kind of spirit?",(1) Gentle (2) quiet,2,Ki Song,3,True,False,False,False,False,False
2 Peter,2,5,5,Noah was one of eight people saved from the ancient world. What did he preach?,Righteousness,1,Ki Song,3,False,False,False,False,False,False
1 Peter,5,2,3,"as shepherd of the flock and overseer, what are we supposed to be to the flock?",Examples,1,Ki Song,3,False,False,False,False,False,False
Hebrews,5,8,8,what did the Son learn by the things which He suffered?,Obedience,1,Ki Song,3,False,False,False,False,False,False
Hebrews,2,16,16,to Whom does Jesus not give aid?,gels,1,Ki Song,3,False,False,False,False,False,False
2 Peter,3,17,17,"Peter cautions us to beware. What might we also fall from, being led away with the error of the wicked?",Our own steadfastness,1,Ki Song,3,False,False,False,False,False,False
Hebrews,12,16,16,what two words are used to describe Esau?,Fornicator and profane,1,Ki Song,3,False,False,False,False,False,False
2 Peter,1,11,11,what will be supplied abundantly into the everlasting kingdom of our Lord and Savior Jesus Christ?,trance,1,Ki Song,3,False,False,False,False,False,False
James,1,11,11,"when the sun has risen with a burning heat, what happens to the grass and the flowers?",(1) Grass withers (2) flowers fall and beautiful appearance perishes,2,Ki Song,3,True,False,False,False,False,False
Hebrews,9,5,5,what were the cherubim on the top of the ark of the covenant overshadowing?,The mercy seat,1,Ki Song,3,False,False,False,False,False,False
James,4,3,3,"when you ask but do not receive, it is because you ask amiss. On what do you want to spend what you ask for?",Your pleasures,1,Ki Song,3,False,False,False,False,False,False
Hebrews,9,12,12,"with His  own blood, He entered the Most Holy Place, not with the blood of what two animals?",Goats and calves,1,Ki Song,3,False,False,False,False,False,False
