contextType,reference,additionalContext,verse,question,answer,grammaticality,acceptability
Epistles,1 Timothy 4:2,"Now the Spirit expressly says that in latter times some will depart from the faith, giving heed to deceiving spirits and doctrines of demons, 
speaking lies in hypocrisy, having their own conscience seared with a hot iron, forbidding to marry, and commanding to abstain from foods 
which God created to be received with thanksgiving by those who believe and know the truth.","speaking lies in hypocrisy, having their own conscience seared with a hot iron,","(1pt) According to 1 Timothy 4:2, what does the Spirit say is seared with a hot iron?",their own conscience,5,5
Epistles,1 Timothy 4:2,"Now the Spirit expressly says that in latter times some will depart from the faith, giving heed to deceiving spirits and doctrines of demons, speaking lies in hypocrisy, having their own conscience seared with a hot iron, forbidding to marry, and commanding to abstain from foods which God created to be received with thanksgiving by those who believe and know the truth.","speaking lies in hypocrisy, having their own conscience seared with a hot iron,","(1pt) According to 1 Timothy 4:2, when some depart from the faith, their conscience is what?",seared with a hot iron,5,5
Epistles,1 Timothy 4:2,"Now the Spirit expressly says that in latter times some will depart from the faith, giving heed to deceiving spirits and doctrines of demons, speaking lies in hypocrisy, having their own conscience seared with a hot iron, forbidding to marry, and commanding to abstain from foods which God created to be received with thanksgiving by those who believe and know the truth.","speaking lies in hypocrisy, having their own conscience seared with a hot iron,","(1pt) According to 1 Timothy 4:2, when some depart from the faith, how do they speak lies?",in hypocrisy,5,5
Epistles,1 Timothy 4:2,"Now the Spirit expressly says that in latter times some will depart from the faith, giving heed to deceiving spirits and doctrines of demons, speaking lies in hypocrisy, having their own conscience seared with a hot iron, forbidding to marry, and commanding to abstain from foods which God created to be received with thanksgiving by those who believe and know the truth.","speaking lies in hypocrisy, having their own conscience seared with a hot iron,","(1pt) According to 1 Timothy 4:2, what two things do those who depart from the faith do?","speaking lies in hypocrisy, having their own conscience seared with a hot iron",5,4
Epistles,1 Timothy 4:2,"Now the Spirit expressly says that in latter times some will depart from the faith, giving heed to deceiving spirits and doctrines of demons, speaking lies in hypocrisy, having their own conscience seared with a hot iron, forbidding to marry, and commanding to abstain from foods which God created to be received with thanksgiving by those who believe and know the truth.","speaking lies in hypocrisy, having their own conscience seared with a hot iron,","(1pt) According to 1 Timothy 4:2, those who depart from the faith have their conscience seared with what?",a hot iron,5,5
Epistles,1 Timothy 4:2,"Now the Spirit expressly says that in latter times some will depart from the faith, giving heed to deceiving spirits and doctrines of demons, speaking lies in hypocrisy, having their own conscience seared with a hot iron, forbidding to marry, and commanding to abstain from foods which God created to be received with thanksgiving by those who believe and know the truth.","speaking lies in hypocrisy, having their own conscience seared with a hot iron,","(1pt) According to 1 Timothy 4:2, those who depart from the faith will give heed to deceiving spirits and doctrines of demons, and will do what?",speaking lies in hypocrisy,5,5
Epistles,1 Timothy 4:2,"Now the Spirit expressly says that in latter times some will depart from the faith, giving heed to deceiving spirits and doctrines of demons, speaking lies in hypocrisy, having their own conscience seared with a hot iron, forbidding to marry, and commanding to abstain from foods which God created to be received with thanksgiving by those who believe and know the truth.","speaking lies in hypocrisy, having their own conscience seared with a hot iron,","(1pt) According to 1 Timothy 4:2, what do those who depart from the faith speak in hypocrisy?",lies,4,4
Epistles,Ephesians 4:30,"Let no corrupt word proceed out of your mouth, but what is good for necessary edification, that it may impart grace to the hearers. And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption. Let all bitterness, wrath, anger, clamor, and evil speaking be put away from you, with all malice.","And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption.","(1pt) According to Ephesians 4:30, what were the Ephesians done for the day of redemption?",Sealed,3,4
Epistles,Ephesians 4:30,"Let no corrupt word proceed out of your mouth, but what is good for necessary edification, that it may impart grace to the hearers. And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption. Let all bitterness, wrath, anger, clamor, and evil speaking be put away from you, with all malice.","And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption.","(1pt) According to Ephesians 4:30, the Holy Spirit of God has done what for us?",Sealed for the day of redemption,5,5
Epistles,Ephesians 4:30,"Let no corrupt word proceed out of your mouth, but what is good for necessary edification, that it may impart grace to the hearers. And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption. Let all bitterness, wrath, anger, clamor, and evil speaking be put away from you, with all malice.","And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption.","(1pt) According to Ephesians 4:30, what are you not to do?",Grieve the Holy Spirit of God,5,3
