reference,additionalContext,verse,question,answer,grammaticality,acceptability
Genesis 45:1,"Then Joseph could not restrain himself before all those who stood by him, and he cried out, ""Make everyone go out from me!"" So no one stood with him while Joseph made himself known to his brothers. And he wept aloud, and the Egyptians and the house of Pharaoh heard it.","Then Joseph could not restrain himself before all those who stood by him, and he cried out, ""Make everyone go out from me!"" So no one stood with him while Joseph made himself known to his brothers.","(1pt) According to Genesis 45:1, Joseph could not restrain himself before whom?",All those who stood by him,5,5
Genesis 45:1,"Then Joseph could not restrain himself before all those who stood by him, and he cried out, ""Make everyone go out from me!"" So no one stood with him while Joseph made himself known to his brothers. And he wept aloud, and the Egyptians and the house of Pharaoh heard it.","Then Joseph could not restrain himself before all those who stood by him, and he cried out, ""Make everyone go out from me!"" So no one stood with him while Joseph made himself known to his brothers.","(1pt) According to Genesis 45:1, what did Joseph cry out before all those who stood by him?",Make everyone go out from me!,5,5
Genesis 45:1,"Then Joseph could not restrain himself before all those who stood by him, and he cried out, ""Make everyone go out from me!"" So no one stood with him while Joseph made himself known to his brothers. And he wept aloud, and the Egyptians and the house of Pharaoh heard it.","Then Joseph could not restrain himself before all those who stood by him, and he cried out, ""Make everyone go out from me!"" So no one stood with him while Joseph made himself known to his brothers.","(1pt) According to Genesis 45:1, what could Joseph not do before all those who stood by him?",Restrain himself,5,5
Genesis 45:1,"Then Joseph could not restrain himself before all those who stood by him, and he cried out, ""Make everyone go out from me!"" So no one stood with him while Joseph made himself known to his brothers. And he wept aloud, and the Egyptians and the house of Pharaoh heard it.","Then Joseph could not restrain himself before all those who stood by him, and he cried out, ""Make everyone go out from me!"" So no one stood with him while Joseph made himself known to his brothers.","(1pt) According to Genesis 45:1, what did Joseph do when he made everyone go out from him?",Make himself known to his brothers,5,4
Deuteronomy 5:21,"""You shall not bear false witness against your neighbor. ""You shall not covet your neighbor's wife; and you shall not desire your neighbor's house, his field, his male servant, his female servant, his ox, his donkey, or anything that is your neighbor's.' ""These words the LORD spoke to all your assembly, in the mountain from the midst of the fire, the cloud, and the thick darkness, with a loud voice; and He added no more. And He wrote them on two tablets of stone and gave them to me.","""You shall not covet your neighbor's wife; and you shall not desire your neighbor's house, his field, his male servant, his female servant, his ox, his donkey, or anything that is your neighbor's.'","(1pt) According to Deuteronomy 5:21, what are you not to do to your neighbor's wife?",Covet,5,5
Deuteronomy 5:21,"""You shall not bear false witness against your neighbor. ""You shall not covet your neighbor's wife; and you shall not desire your neighbor's house, his field, his male servant, his female servant, his ox, his donkey, or anything that is your neighbor's.' ""These words the LORD spoke to all your assembly, in the mountain from the midst of the fire, the cloud, and the thick darkness, with a loud voice; and He added no more. And He wrote them on two tablets of stone and gave them to me.","""You shall not covet your neighbor's wife; and you shall not desire your neighbor's house, his field, his male servant, his female servant, his ox, his donkey, or anything that is your neighbor's.'","(1pt) According to Deuteronomy 5:21, you shall not desire what?",Your neighbor's,5,2
Amos 3:1,"Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying: ""You only have I known of all the families of the earth; Therefore I will punish you for all your iniquities.""","Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying:","(1pt) According to Amos 3:1, the Lord brought up the children of Israel from the land of Egypt. What did He bring up?",The whole family,5,4
Amos 3:1,"Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying: ""You only have I known of all the families of the earth; Therefore I will punish you for all your iniquities.""","Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying:","(1pt) According to Amos 3:1, who spoke against the children of Israel?",The Lord,5,5
Amos 3:1,"Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying: ""You only have I known of all the families of the earth; Therefore I will punish you for all your iniquities.""","Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying:","(1pt) According to Amos 3:1, who does the Lord speak against?",The children of Israel,5,5
Amos 3:1,"Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying: ""You only have I known of all the families of the earth; Therefore I will punish you for all your iniquities.""","Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying:","(1pt) According to Amos 3:1, the Lord brought up the children of Israel from where?",The land of Egypt,5,5
Amos 3:1,"Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying: ""You only have I known of all the families of the earth; Therefore I will punish you for all your iniquities.""","Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying:","(1pt) According to Amos 3:1, what does the Lord tell the children of Israel to do?",Hear this word,5,4
Amos 3:1,"Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying: ""You only have I known of all the families of the earth; Therefore I will punish you for all your iniquities.""","Hear this word that the LORD has spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying:","(1pt) According to Amos 3:1, what does the Lord want the children of Israel to hear?",This word that the Lord has spoken against them,5,5
