reference,additionalContext,verse,question,answer,grammaticality,acceptability
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, the substance of the festival, new moon, and sabbaths is what?",of Christ,5,1
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, what is the festival, new moon, and sabbaths?",shadows of things to come,4,5
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, Paul says that the festival, new moon, and sabbaths are a shadow of what?",things to come,5,5
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, what is the shadow of things to come?",the substance of Christ,4,1
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, what are the food, drink, festival, new moon, and sabbaths?",shadows,4,1
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, what is the substance of the sabbaths, festival, new moon, and food and drink?",Christ's substance,5,1
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, what is ""of Christ""?",the substance,5,5
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, what is the substance of things to come?",the substance of Christ is Christ Himself,5,2
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, what does Paul say about the festival, new moon, sabbaths?","a shadow of things to come, but the substance is of Christ",3,2
Colossians 2:17,"So let no one judge you in food or in drink, or regarding a festival or a new moon or sabbaths, which are a shadow of things to come, but the substance is of Christ. Let no one cheat you of your reward, taking delight in false humility and worship of angels, intruding into those things which he has not seen, vainly puffed up by his fleshly mind,","which are a shadow of things to come, but the substance is of Christ.","(1pt) According to Colossians 2:17, what is a festival or a new moon or sabbaths?",a shadow of things to come,5,3
