reference,additionalContext,verse,question,answer,grammaticality,acceptability
2 Samuel 13:12,"Now when she had brought them to him to eat, he took hold of her and said to her, ""Come, lie with me, my sister."" But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing! And I, where could I take my shame? And as for you, you would be like one of the fools in Israel. Now therefore, please speak to the king; for he will not withhold me from you.""","But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing!","(1pt) According to 2 Samuel 13:12, what did Tamar say that David should not do?",This disgraceful thing,,
2 Samuel 13:12,"Now when she had brought them to him to eat, he took hold of her and said to her, ""Come, lie with me, my sister."" But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing! And I, where could I take my shame? And as for you, you would be like one of the fools in Israel. Now therefore, please speak to the king; for he will not withhold me from you.""","But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing!","(1pt) According to 2 Samuel 13:12, what did Tamar tell Amnon to do?","No, my brother, do not force me",,
2 Samuel 13:12,"Now when she had brought them to him to eat, he took hold of her and said to her, ""Come, lie with me, my sister."" But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing! And I, where could I take my shame? And as for you, you would be like one of the fools in Israel. Now therefore, please speak to the king; for he will not withhold me from you.""","But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing!","(1pt) According to 2 Samuel 13:12, why did Tamar tell Absalom not to force her?",For no such thing should be done in Israel,,
2 Samuel 13:12,"Now when she had brought them to him to eat, he took hold of her and said to her, ""Come, lie with me, my sister."" But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing! And I, where could I take my shame? And as for you, you would be like one of the fools in Israel. Now therefore, please speak to the king; for he will not withhold me from you.""","But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing!","(1pt) According to 2 Samuel 13:12, when Tamar refused to have sex with Amnon, she said that Amnon should not do what?",Disgraceful,,
2 Samuel 13:12,"Now when she had brought them to him to eat, he took hold of her and said to her, ""Come, lie with me, my sister."" But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing! And I, where could I take my shame? And as for you, you would be like one of the fools in Israel. Now therefore, please speak to the king; for he will not withhold me from you.""","But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing!","(1pt) According to 2 Samuel 13:12, Tamar told Amnon that he should not do this disgraceful thing where?",In Israel,,
2 Samuel 13:12,"Now when she had brought them to him to eat, he took hold of her and said to her, ""Come, lie with me, my sister."" But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing! And I, where could I take my shame? And as for you, you would be like one of the fools in Israel. Now therefore, please speak to the king; for he will not withhold me from you.""","But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing!","(1pt) According to 2 Samuel 13:12, what did Tamar say to Amnon when he asked her to go to bed with him?","No, my brother",,
2 Samuel 13:12,"Now when she had brought them to him to eat, he took hold of her and said to her, ""Come, lie with me, my sister."" But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing! And I, where could I take my shame? And as for you, you would be like one of the fools in Israel. Now therefore, please speak to the king; for he will not withhold me from you.""","But she answered him, ""No, my brother, do not force me, for no such thing should be done in Israel. Do not do this disgraceful thing!","(1pt) According to 2 Samuel 13:12, what did Tamar tell Amnon not to do?",Force her,,
2 Kings 8:11,"And Elisha said to him, ""Go, say to him, ""You shall certainly recover.' However the LORD has shown me that he will really die."" Then he set his countenance in a stare until he was ashamed; and the man of God wept. And Hazael said, ""Why is my lord weeping?"" He answered, ""Because I know the evil that you will do to the children of Israel: Their strongholds you will set on fire, and their young men you will kill with the sword; and you will dash their children, and rip open their women with child.""",Then he set his countenance in a stare until he was ashamed; and the man of God wept.,"(1pt) According to 2 Kings 8:11, how did the king's stare make him feel?",ashamed,,
2 Kings 8:11,"And Elisha said to him, ""Go, say to him, ""You shall certainly recover.' However the LORD has shown me that he will really die."" Then he set his countenance in a stare until he was ashamed; and the man of God wept. And Hazael said, ""Why is my lord weeping?"" He answered, ""Because I know the evil that you will do to the children of Israel: Their strongholds you will set on fire, and their young men you will kill with the sword; and you will dash their children, and rip open their women with child.""",Then he set his countenance in a stare until he was ashamed; and the man of God wept.,"(1pt) According to 2 Kings 8:11, how did the king set his countenance?",in a stare,,
2 Kings 8:11,"And Elisha said to him, ""Go, say to him, ""You shall certainly recover.' However the LORD has shown me that he will really die."" Then he set his countenance in a stare until he was ashamed; and the man of God wept. And Hazael said, ""Why is my lord weeping?"" He answered, ""Because I know the evil that you will do to the children of Israel: Their strongholds you will set on fire, and their young men you will kill with the sword; and you will dash their children, and rip open their women with child.""",Then he set his countenance in a stare until he was ashamed; and the man of God wept.,"(1pt) According to 2 Kings 8:11, when the king of Syria set his countenance in a stare, how long did he stare?",until he was ashamed,,
2 Kings 8:11,"And Elisha said to him, ""Go, say to him, ""You shall certainly recover.' However the LORD has shown me that he will really die."" Then he set his countenance in a stare until he was ashamed; and the man of God wept. And Hazael said, ""Why is my lord weeping?"" He answered, ""Because I know the evil that you will do to the children of Israel: Their strongholds you will set on fire, and their young men you will kill with the sword; and you will dash their children, and rip open their women with child.""",Then he set his countenance in a stare until he was ashamed; and the man of God wept.,"(1pt) According to 2 Kings 8:11, what happened after the king was ashamed?",the man of God wept,,
