reference,additionalContext,verse,question,answer,grammaticality,acceptability
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(1pt) According to Numbers 21:33, when Og king of Bashan went out against the Israelites, who went with him?",All his people,,
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(2pts) According to Numbers 21:33, who went out against the Israelites at Edrei?",(1) Og king of Bashan and (2) all his people,,
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(1pt) According to Numbers 21:33, where did Og king of Bashan go to battle against Israel?",At Edrei,,
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(1pt) According to Numbers 21:33, who went out against the Israelites and all his people to battle at Edrei?",Og king of Bashan,,
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(1pt) According to Numbers 21:33, when Og king of Bashan went out against the Israelites, where did he go?",To battle at Edrei,,
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(2pts) According to Numbers 21:33, when the Israelites turned and went up by the way to Bashan, who went out against them?",(1) He and (2) all his people,,
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(1pt) According to Numbers 21:33, the Israelites turned and went up by what?",The way to Bashan,,
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(1pt) According to Numbers 21:33, the Israelites turned and went up by the way to what place?",Bashan,,
Numbers 21:33,"Then Moses sent to spy out Jazer; and they took its villages and drove out the Amorites who were there. And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei. Then the LORD said to Moses, ""Do not fear him, for I have delivered him into your hand, with all his people and his land; and you shall do to him as you did to Sihon king of the Amorites, who dwelt at Heshbon.""","And they turned and went up by the way to Bashan. So Og king of Bashan went out against them, he and all his people, to battle at Edrei.","(1pt) According to Numbers 21:33, why did Og king of Bashan go out against the Israelites?",To battle,,
Hosea 1:4,"So he went and took Gomer the daughter of Diblaim, and she conceived and bore him a son. Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel. It shall come to pass in that day That I will break the bow of Israel in the Valley of Jezreel.""","Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel.","(1pt) According to Hosea 1:4, what name did the Lord say to give to Gomer's son?",Jezreel's,,
Hosea 1:4,"So he went and took Gomer the daughter of Diblaim, and she conceived and bore him a son. Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel. It shall come to pass in that day That I will break the bow of Israel in the Valley of Jezreel.""","Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel.","(1pt) According to Hosea 1:4, what would the Lord bring an end to?",The kingdom of the house of Israel,,
Hosea 1:4,"So he went and took Gomer the daughter of Diblaim, and she conceived and bore him a son. Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel. It shall come to pass in that day That I will break the bow of Israel in the Valley of Jezreel.""","Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel.","(1pt) According to Hosea 1:4, what did the Lord say He would avenge on the house of Jehu?",The bloodshed of Jezreel,,
Hosea 1:4,"So he went and took Gomer the daughter of Diblaim, and she conceived and bore him a son. Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel. It shall come to pass in that day That I will break the bow of Israel in the Valley of Jezreel.""","Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel.","(1pt) According to Hosea 1:4, whose house did the Lord say He would avenge the bloodshed of?",Jehu's,,
Hosea 1:4,"So he went and took Gomer the daughter of Diblaim, and she conceived and bore him a son. Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel. It shall come to pass in that day That I will break the bow of Israel in the Valley of Jezreel.""","Then the LORD said to him: ""Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel.","(1pt) According to Hosea 1:4, on what house would the Lord avenge the bloodshed of Jezreel?",The house of Jehu,,
