model,mode,elapsedTime
7b-text,base,4.563
7b-text,base,3.494
7b-text,base,3.510
7b-text,base,3.495
7b-text,base,4.543
13b-text,base,5.542
13b-text,base,4.590
13b-text,base,4.447
13b-text,base,4.463
13b-text,base,5.614
7b-chat,base,1.603
7b-chat,base,0.256
7b-chat,base,1.186
7b-chat,base,0.543
7b-chat,base,1.849
7b-chat,base,1.108
7b-chat,base,0.995
7b-chat,base,0.797
7b-chat,base,1.34
7b-chat,base,1.58
7b-chat,base,0.86
7b-chat,base,0.687
7b-chat,base,0.782
7b-chat,base,0.628
7b-chat,base,0.913
7b-chat,base,1.669
7b-chat,base,0.973
7b-chat,base,0.791
7b-chat,base,0.936
7b-chat,base,0.976
7b-chat,base,0.766
7b-chat,base,0.596
7b-chat,base,0.893
7b-chat,base,0.881
7b-chat,base,0.465
7b-chat,base,0.821
7b-chat,base,0.288
7b-chat,base,0.47
7b-chat,base,0.428
7b-chat,base,1.038
7b-chat,base,0.854
7b-chat,base,0.996
7b-chat,base,3.488
7b-chat,base,3.623
13b-chat,base,2.418
13b-chat,base,1.354
13b-chat,base,1.1
13b-chat,base,0.588
13b-chat,base,1.775
13b-chat,base,1.741
13b-chat,base,1.91
7b-chat,base,4.214
7b-chat,base,2.893
7b-chat,base,2.955
7b-chat,base,2.481
7b-chat,base,4.531
7b-chat,base,2.722
7b-chat,base,2.42
7b-chat,base,4.088
7b-chat,base,4.479
7b-chat,base,4.429
7b-chat,base,4.509
7b-chat,base,4.462
7b-chat,base,4.35
13b-chat,base,6.05
7b-chatAE02,norm,5.134
7b-chatAE01,norm,5.251
7b-chatAE01,norm,4.237
7b-chatAE00,norm,5.162
7b-chatAE00,norm,4.156
7b-chatAE02,norm,4.632
7b-chatAE02,norm,4.078
7b-chatAE00,norm,4.618
7b-chatAE00,norm,4.076
7b-chatAE00,norm,4.068
7b-chatAE02,norm,5.162
7b-chatAE02,norm,4.154
7b-chatAE02,norm,4.15
7b-chatAE02,norm,4.149
7b-chatAE03,norm,5.232
7b-chatAE03,norm,4.218
7b-chatAE03,norm,4.22
7b-chatAE03,norm,4.215
7b-chatQG02,norm,5.151
7b-chatQG02,norm,4.148
7b-chatQG02,norm,4.142
7b-chatQG02,norm,4.142
7b-chatAE03,norm,5.208
7b-chatAE03,norm,4.15
7b-chatAE03,norm,4.141
7b-chatAE03,norm,4.144
7b-chatAE03,norm,4.148
7b-chatAE03,norm,4.143
7b-chatAE02,norm,5.132
7b-chatAE02,norm,4.121
7b-chatAE02,norm,4.12
7b-chatAE02,norm,4.12
7b-chatQG03,norm,5.314
7b-chatQG03,norm,4.146
7b-chatQG03,norm,4.145
7b-chatQG03,norm,5.181
7b-chatQG03,norm,4.167
7b-chatQG03,norm,4.169
7b-chatQG03,norm,4.166
7b-chatQG03,norm,4.164
7b-chatQG02,norm,5.286
7b-chatQG02,norm,4.292
7b-chatQG02,norm,4.27
7b-chatQG02,norm,4.211
7b-chatQG02,norm,4.203
7b-chatQG02,norm,4.198
7b-chatAE01,norm,4.61
7b-chatAE03,norm,4.653
7b-chatQG03,norm,4.089
7b-chatAE03,norm,4.089
7b-chatAE03,norm,4.093
7b-chatAE03,norm,4.088
7b-chatAE03,norm,5.178
7b-chatAE03,norm,4.171
7b-chatAE03,norm,4.176
7b-chatQG03,norm,5.158
7b-chatQG03,norm,4.177
7b-chatQG03,norm,4.179
7b-chatQG03,norm,4.187
7b-chatQG03,norm,5.195
7b-chatQG03,norm,4.194
7b-chatQG03,norm,4.188
7b-chatQG03,norm,4.179
7b-chatQG03,norm,4.177
7b-chatQG03,norm,4.19
7b-chatQG03,norm,4.175
7b-chatQG03,norm,4.177
7b-chatQG03,norm,4.175
7b-chatAE03,norm,4.753
7b-chatAE03,norm,4.107
7b-chatAE03,norm,5.158
7b-chatAE03,norm,4.164
7b-chatAE03,norm,5.188
7b-chatAE03,norm,4.173
7b-chatAE03,norm,3.952
7b-chatQG03,norm,4.115
7b-chatAE03,norm,4.115
7b-chatQG03,norm,4.118
7b-chatAE03,norm,5.202
7b-chatAE03,norm,4.185
7b-chatAE03,norm,4.178
7b-chatAE03,norm,5.171
7b-chatAE03,norm,4.173
7b-chatAE03,norm,4.158
7b-chatAE03,norm,4.16
7b-chatAE03,norm,5.209
7b-chatAE03,norm,3.966
7b-chatAE03,norm,3.756
7b-chatAE03,norm,5.21
7b-chatAE03,norm,4.204
7b-chatQG03,norm,4.205
7b-chatAE03,norm,5.212
7b-chatAE03,norm,5.184
7b-chatAE03,norm,5.15
7b-chatAE03,norm,5.207
7b-chatAE03,norm,5.29
7b-chatAE03,norm,5.174
7b-chatAE03,norm,4.128
7b-chatAE03,norm,5.216
7b-chatAE03,norm,4.199
7b-chatAE03,norm,4.19
7b-chatAE03,norm,5.116
7b-chatAE03,norm,4.111
7b-chatAE03,norm,5.187
7b-chatAE03,norm,4.178
7b-chatAE03,norm,4.169
7b-chatAE03,norm,4.179
7b-chatAE03,norm,5.147
7b-chatAE03,norm,4.138
7b-chatAE03,norm,5.182
7b-chatQG03,norm,4.16
7b-chatQG03,norm,4.155
7b-chatQG03,norm,4.157
7b-chatQG03,norm,4.153
7b-chatQG03,norm,4.166
7b-chatQG03,norm,4.16
7b-chatQG03,norm,4.181
7b-chatQG03,norm,4.155
7b-chatAE03,norm,5.292
