Type,Question,Answer,NumberPoints,StartBook,StartChapter,StartVerse,EndBook,EndChapter,EndVerse
bible-qna,Which Ahasuerus is being spoken of in the book of Esther?,"the Ahasuerus who reigned over 127 provinces, from India to Ethiopia",1,Esther,1,1,Esther,1,1
bible-qna,Where was King Ahasuerus' throne? (be specific),in Shushan the citadel,1,Esther,1,2,Esther,1,2
bible-qna,What was in Shushan the citadel?,the throne of his kingdom (Ahasuerus' throne),1,Esther,1,2,Esther,1,2
bible-qna,In what year of King Ahasuerus' reign did he make a feast for the powers of Media and Persia?,3rd,1,Esther,1,2,Esther,1,3
bible-qna,Where was the throne of his kingdom?,in Shushan the citadel,1,Esther,1,2,Esther,1,2
bible-qna,What did king Ahasuerus sit on?,the throne of his kingdom,1,Esther,1,2,Esther,1,2
bible-qna,What did the king make for all his officials and servants?,a feast,1,Esther,1,3,Esther,1,3
bible-qna,In which year of his reign was it?,third,1,Esther,1,3,Esther,1,3
bible-qna,What did he make?,a feast,1,Esther,1,3,Esther,1,3
bible-qna,For how many days did the king show the riches of his glorious kingdom and the splendor of his excellent majesty?,"many, 180 in all",1,Esther,1,4,Esther,1,4
bible-qna,"When the 180 days of showing off his riches and splendor were completed, what did the king do?",make a 7-day feast for all the people who were present in Shushan,1,Esther,1,4,Esther,1,5
bible-qna,How long did the feast last that the king made following the 180 feast that had showed off his riches and splendor?,7 days,1,Esther,1,4,Esther,1,5
bible-qna,How many days in all were the feast?,180,1,Esther,1,4,Esther,1,4
bible-qna,For which people who were in Shushan the citidal was the 7-day feast made?,all from great to small,1,Esther,1,5,Esther,1,5
bible-qna,Where was the 7 day feast held?,in the court of the garden of the king's palace,1,Esther,1,5,Esther,1,5
bible-qna,What was held in the court of the garden of the king's palace,7-day feast (for all the people who were present in Shushan),1,Esther,1,5,Esther,1,5
bible-qna,Who also made a feast when the King made a 7-day feast for all the people who were present in Shushan?,Queen Vashti,1,Esther,1,5,Esther,1,9
bible-qna,How long did the feast last?,7 days,1,Esther,1,5,Esther,1,5
bible-qna,What did the king make?,a feast,1,Esther,1,5,Esther,1,5
bible-qna,What was made of white and blue linen?,curtains,1,Esther,1,6,Esther,1,6
bible-qna,What were the curtain rods made of?,silver,1,Esther,1,6,Esther,1,6
bible-qna,What was made of silver?,rods,1,Esther,1,6,Esther,1,6
bible-qna,What were the curtains fastened with?,cords of fine linene and purple,1,Esther,1,6,Esther,1,6
bible-qna,What was made of fine linen and purple?,cords,1,Esther,1,6,Esther,1,6
bible-qna,What were the cords used for?,to fasten the curtains,1,Esther,1,6,Esther,1,6
bible-qna,What were the pillars made of?,marble,1,Esther,1,6,Esther,1,6
bible-qna,What was made of marble?,pillars,1,Esther,1,6,Esther,1,6
bible-qna,What was made of gold and silver?,couches,1,Esther,1,6,Esther,1,6
bible-qna,"What was made of alabaster, turquoise, and white and black marble?",a mosaic pavement,1,Esther,1,6,Esther,1,6
bible-qna,What were drinks served in?,"golden vessels, each vessel being different from the other",1,Esther,1,7,Esther,1,7
bible-qna,What was different from the other?,each golden vessel used for serving drinks,1,Esther,1,7,Esther,1,7
bible-qna,What was in abundance according to the generosity of the king?,royal wine,1,Esther,1,7,Esther,1,7
